Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Ziram;S8;2;1;3;7;30,7;25,7
Ziram;S23;2;0,5;1;7;44,8;39,8
Ziram;S23;2;0,5;2;7;47,9;42,9
Ziram;S23;2;0,5;3;7;49;44
Ziram;S20;2;0,5;1;7;46;41
Ziram;S20;2;0,5;2;7;47;42
Ziram;S20;2;0,5;3;7;49;44
Ziram;S8;2;0,5;1;7;41,8;36,8
Ziram;S8;2;0,5;2;7;39,9;34,9
Ziram;S8;2;0,5;3;7;40;35
Ziram;S23;2;0,1;1;7;58,9;53,9
Ziram;S23;2;0,1;2;7;58,2;53,2
Ziram;S23;2;0,1;3;7;57,7;52,7
Ziram;S20;2;0,1;1;7;53,8;48,8
Ziram;S20;2;0,1;2;7;55,9;50,9
Ziram;S20;2;0,1;3;7;56,5;51,5
Ziram;S8;2;0,1;1;7;45,9;40,9
Ziram;S8;2;0,1;2;7;45,2;40,2
Ziram;S8;2;0,1;3;7;49,7;44,7
Ziram;S23;3;0;;7;58;53
Ziram;S20;3;0;;7;55;50
Ziram;S8;3;0;;7;48;43
Ziram;S23;3;0,1;;7;59;54
Ziram;S20;3;0,1;;7;54;49
Ziram;S8;3;0,1;;7;46;41
Ziram;S23;3;0,5;;7;45;40
Ziram;S20;3;0,5;;7;49;44
Ziram;S8;3;0,5;;7;42;37
Ziram;S23;3;1;;7;43;38
Ziram;S20;3;1;;7;43;38
Ziram;S8;3;1;;7;30;25
Ziram;S23;3;10;;7;25,5;20,5
Ziram;S20;3;10;;7;28;23
Ziram;S8;3;10;;7;24;19
Ziram;S23;3;50;;7;24;19
Ziram;S20;3;50;;7;25,5;20,5
Ziram;S8;3;50;;7;24;19
Ziram;S23;3;100;;7;20;15
Ziram;S20;3;100;;7;20;15
Ziram;S8;3;100;;7;20;15
Ziram;S23;3;0;;7;60;55
Ziram;S20;3;0;;7;54;49
Ziram;S8;3;0;;7;49;44
Ziram;S23;3;0,1;;7;58;53
Ziram;S20;3;0,1;;7;56;51
Ziram;S8;3;0,1;;7;45;40
Ziram;S23;3;0,5;;7;48;43
Ziram;S20;3;0,5;;7;50;45
Ziram;S8;3;0,5;;7;43;38
Ziram;S23;3;1;;7;42;37
Ziram;S20;3;1;;7;43;38
Ziram;S8;3;1;;7;38;33
Ziram;S23;3;10;;7;26;21
Ziram;S20;3;10;;7;27;22
Ziram;S8;3;10;;7;25;20
Ziram;S23;3;50;;7;26;21
Ziram;S20;3;50;;7;26;21
Ziram;S8;3;50;;7;24;19
Ziram;S23;3;100;;7;20;15
Ziram;S20;3;100;;7;20;15
Ziram;S8;3;100;;7;22;17
Ziram;S23;3;0;;7;61;56
Ziram;S20;3;0;;7;53;48
Ziram;S8;3;0;;7;50;45
Ziram;S23;3;0,1;;7;58;53
Ziram;S20;3;0,1;;7;56,5;51,5
Ziram;S8;3;0,1;;7;50;45
Ziram;S23;3;0,5;;7;49;44
Ziram;S20;3;0,5;;7;50;45
Ziram;S8;3;0,5;;7;40;35
Ziram;S23;3;1;;7;42;37
Ziram;S20;3;1;;7;43;38
Ziram;S8;3;1;;7;31;26
Ziram;S23;3;10;;7;28;23
